dt,sku_id,page_price,discount_price,is_promotion,year,month,day,weekday,quarter,is_month_start,is_before_promotion,discount_price_change,discount_price_change_pct,discount_price_change_abs,discount_price_mean_7,discount_price_std_7,discount_price_min_7,discount_price_max_7,discount_price_trend_7,discount_price_lag_1,discount_price_lag_3,discount_price_lag_7,discount_price_lag_14,discount_price_lag_30,discount_price_change_lag_1,discount_price_change_lag_3,discount_price_change_lag_7,discount_price_change_lag_14,discount_price_promo_interaction,promo_freq_7,promo_freq_30,yhat,yhat_lower,yhat_upper,yhat_diff,yhat_residual
2025-05-01,231023,16.9,16.9,0,2025,5,1,3,2,1,0,0,0,0,16.785714285714285,0.1807015805810496,16.5,16.9,0,16.9,16.9,16.9,16.9,16.9,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-02,231023,16.9,16.9,0,2025,5,2,4,2,0,0,0,0,0,16.799999999999997,0.17320508075688712,16.5,16.9,0,16.9,16.5,16.9,16.9,16.9,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-03,231023,16.9,16.9,0,2025,5,3,5,2,0,0,0,0,0,16.81111111111111,0.166295883856619,16.5,16.9,0,16.9,16.9,16.9,16.9,16.9,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-04,231023,16.9,16.9,0,2025,5,4,6,2,0,0,0,0,0,16.82,0.15999999999999942,16.5,16.9,0,16.9,16.9,16.5,16.9,16.9,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-05,231023,16.9,16.9,0,2025,5,5,0,2,0,0,0,0,0,16.827272727272728,0.15427784316797347,16.5,16.9,0,16.9,16.9,16.9,16.9,16.9,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-06,231023,16.9,16.9,0,2025,5,6,1,2,0,0,0,0,0,16.833333333333332,0.14907119849998546,16.5,16.9,0,16.9,16.9,16.5,16.9,16.9,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07,231023,16.9,16.9,0,2025,5,7,2,2,0,0,0,0,0,16.838461538461537,0.1443204849176435,16.5,16.9,0,16.9,16.9,16.9,16.9,16.9,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-01,293418,65.0,65.0,0,2025,5,1,3,2,1,0,0,0,0,63.607142857142854,2.367401917025221,58.5,65.0,0,65.0,65.0,65.0,65.0,65.0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-02,293418,65.0,65.0,0,2025,5,2,4,2,0,0,0,0,0,63.78125,2.2619042723996965,58.5,65.0,0,65.0,58.5,65.0,65.0,65.0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-03,293418,65.0,65.0,0,2025,5,3,5,2,0,0,0,0,0,63.916666666666664,2.1666666666666665,58.5,65.0,0,65.0,65.0,61.75,65.0,65.0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-04,293418,65.0,65.0,0,2025,5,4,6,2,0,0,0,0,0,64.025,2.081015377165676,58.5,65.0,0,65.0,65.0,65.0,65.0,65.0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-05,293418,65.0,65.0,0,2025,5,5,0,2,0,0,0,0,0,64.11363636363636,2.003870222287011,58.5,65.0,0,65.0,65.0,65.0,65.0,65.0,0,0,0,0,0,0,0,0,0,0,0,0
